College Name,Address,District,Website,Email address,Contact Number,TPO name,TPO contact number
"Shriram Institute Of Engineering & Technology, (Poly), Paniv","Paniv, Taluka Malshiras, Dist. Solapur 413113",Solapur,www.sietpaniv.org,sietpoly@gmail.com,274211,Mr Chougule Nayankumar Babanrao,274055
"Loknete Ma.Hanumantrao Patil Charitable Trust, Adarsh Institute of Technology (Poly), Khambale","Gat No.421,At Post Khambale, Vita, Taluka Khanpur, Dist. Sangli  415311",Sangli,www.aitpolytechnic.org,aitp0991@rediffmail.com,9970832675,Mr.Shinde S.V,229191
"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad","Gat No.716,Ghogaon,(Shivajinagar),Tal.Karad Satara , 415111",Satara,www.sietghogaon.org,ssietdegree@gmail.com,223096,Shri Patil Santosh Vishrant,257309
"Swami Vivekananda Pratisthan, Swami Vivekananda Institute Of Technology,Khed, Solapur","Gat No.16/1,Solapur -Barshi Road,Khed,North  Solapur 413225",Solapur,www.svitsolapur.org,svp_sol@rediffmail.com,2911025,MR. SAMADHAN DAGADU WADANE,2911026
"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur","2130, E Ward, Kolhapur  416003",Kolhapur,www.bsiet.org,bsieat@gmail.com,2658613,Mr. Amit Aba Awad,2658610
"Vivekanad Institute of Technology Padmbhushan Vasantdada Patil College of Architecture, Pune","Sr. No.274/2, 275/2,282, Aditya Nisarg, At Post Pirangut, Taluka Mulshi, District Pune",Pune,www.pvpcoapune.com,pvpcoapune@gmail.com,20291308,Santosh P.Patil,20291299
"Maharashtra State  Institute of Hotel Management & Catering Technology,Pune","412-C,K.M.Munshi Road, Shivaji Nagar Pune  411016",Pune,www.msihmctrs.in,msihmcttpo@gmail.com,25676640,GADE RAHUL ARUN,25676640
"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara.","Gat. No-247,A/P-Panwalewadi Post Varye,Tal-Satara 415015",Satara,www.agce.sets.edu.in,agcenggsatara@gmail.com,200100,Kanase N.U.,200100
"Suryadatta Educational Foundation, Suryadatta Institute of Business Management and Technology, Pune","Bldg No. 2, S.No.342, Patil Nagar, Bavdhan BK, Pune. 411030",Pune,www.sibmt.org,support@suryaydatta.edu.in,67901300,Mrs. Savita Matane,67901300
"College Of Engineering, Vairag Tal. Barshi","At/p- Sasure- Vairag On Solapur Barshi State HighWay Tal-Barshi Solapur , 413402",Solapur,www.coevairag.org,collegeofengineeringvairag@gmali.com,240700,Shinde D.B.,240700
"Institute of Technical Education, Research and Management, Akurdi","Sectro No.28, PCNTDA,  Akurdi, Pune  411044",Pune,www.pdeaitermakurdi.org,itermakurdi@gmail.com,27650276,Mrs Mohini V. kadam,27650788
"Shriram Institute Of Engineering And Technology Centre, Paniv","At/P-Paniv, Tal-Malshiras, Dist-Solapur 413113",Solapur,www.sietc.org,principalsietc@gmail.com,274222,CHANDANSHIVE DATTATRAY GANGADHAR,274044
"D. Y. Patil Institute of Engineering and Technology, Ambi","S.No. 124,126, At/Post Ambi, M.I.D.C. Road, Talegaon, Taluka-Maval, Dist Pune 410506",Pune,www.dyptc.com,ddypea@gmail.com,306229,SHRI. Bhavanrao GAIKWAD,306229
"Institute Of Knowledge-College Of Engineering, Pimpale - Jagtap","Pimpale - Jagtap , Tal. Shirur , District - Pune.  412208",Pune,www.iokcoe.ac.in,principal.iok@gmail.com,673333,Mr.awargand Vinod B,673304
"I.S.B.& M. School of Technology, Nande Village","Survey No.44/1, 44/1/2, Nande Village Taluka Mulshi , Pune  411042",Pune,www.isbmsot.org,isbm.engg@isbm.ac.in,25754618,Ankush H. Kusmude,25754676
"Universal College of Engineering & Research, Sasewadi","Gat No. 430, Sasewadi, Pune",Pune,www.ucoer.edu.in,preranap.pune@gmail.com,220000,Pravin D Dhotre,21132
"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune","Svy.NO.25&27,At pisoli,Post Yevalewadi,Tal-Haveli,Bopdeo Ghat,Pune  411048",Pune,www.kjsedu.com,estb.pcoemr@gmail.com,69739009,Anil B.Chorge,8446091199
"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur","At Post Korti,Pandharpur - Karad road,  Tal-Pandharpur, Dist-Solapur",Solapur,www.spspm.org,principal@sknscoe.ac.in,250103,S. H. KARANDE,250146
"Ninaidevi Shikshan Prasarak Mandal,Shri. Shivajirao Deshmukh Institute of Technology, Shirala, Sangli ","Red Batish Shirala, Sangli   415408",Sangli,www.ssdit.org,principal.ssdit@gmail.com,285555,Mr.R.B.Patil,285556
"Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune","Dr. D.Y. Patil Knowledge City, Charholi (Bk.), via Lohegaon, Pune",Pune,www.dypic.in,mankar.vidyanand@dypic.in,67077922,Mankar Vidyanand,67077922
"Sinhgad Technical Education Society's S.K.N. Sinhgad School of Business Management, Ambegaon, Tal. Haveli Dist. Pune","10/1, Ambegaon(Bu.), Tal- Haveli, Pune. 411041",Pune,www.sinhgad.edu,director_sknsbm@sinhgad.edu,24354036,Mr. Mahesh Shinde,24354036
"International Institute of Information Technology (I²IT), Pune.","P-14, Rajiv Gandhi Infotech Park, Hinjawadi, Pune  411057",Pune,www.isquareit.edu.in,principal@isquareit.edu.in,22934013,Mr. Dinesh Joje,22933441
"JSPM Narhe Technical Campus, Pune.","S.No.12/2/2, 14/9, Narhe, Pune 411041",Pune,jspmntc.edu.in,director.jspmntc@gmail.com,0,Mr. Nitin Jalindar Mukane,24608701
"Yashoda Technical Campus, Wadhe, Satara.","S.No.242/1, At post Wadhe,Tal.& Dist. Satara.  415011",Satara,www.yes.edu.in,principalengg_ytc@yes.edu.in,271240,Mr. Kishor Rajendrakumar Shinde,271239
"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.","A/P Rajuri, Taluka-Junnar, Dist-Pune. 412411",Pune,www.sahyadrivalleycollege.com,sahyadrivalleycollege@gmail.com,75680000,Mr.P.Balaramudu,97675800
"Shree Ramchandra College of Engineering, Lonikand,Pune","Gat No. 351 & 333/1 At post Lonikand, Taluka Haveli, Dist. Pune  412216",Pune,www.srespune.org,srcoepune@gmail.com,26659999,Mr. B. G. Chaudhari,26659999
Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara ,"Survey No.31(Part), Thakurki, Tal. Phaltan, Dist.Satara.  ",Satara,www.coephaltan.edu.in,coeprincipal@yahoo.co.in,220339,D. B. Gore,220339
"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune.","Kamshet, Taluka Maval, Dist. Pune 410405",Pune,www.srttc.ac.in,principal@srttc.ac.in,264106,Prof. Girish N. Matre,264101
"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.","Gat No.309, Kusgaon Budruk, Opp. Pune Mumbai Express Highway, Kusgaon, Lonavala, Pune.  410401",Pune,www.sinhgad.edu,principal.sknsits@sinhgad.edu,673225,Mr. Vijaykumar Kisan Gangthade,673391
"Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune","49/1, Khopi, Nr. Khed-Shivapur Toll Plaza, Off Pune-Banglore Highway, Taluka-Bhor,Dist.Pune , 412205",Pune,www.flora.ac.in,flora.education@gmail.com,203061,Rahul Padalkar,203060
"NBN Sinhgad Technical Institutes Campus, Pune","10/1, Ambegaon Budruk, Tal.Haveli, Dist.Pune. 411041",Pune,www.sinhgad.edu,nbnssoe@sinhgad.edu,24355041,MR SANTOSH D PATOLE,24355042
"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.","G.No. 85, Talasande, Tal- Hatkangle, Kolhapur  416112",Kolhapur,www.dyptechnicalcampus.com,engg.dyptc@gmail.com,9545719599,Shri Bhagaje Prakash Mallappa,9545719599
"Bhagwant Institute of Technology, Barshi","Gat No. 1242/2, Tadsoundane Road, Barshi. Solapur.413401",Solapur,www.bitbarshi.edu.in,bitbarshi6781@gmail.com,220031,Budruk P.V.,220070
"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj","At Shankar Nagar, Akluj, Post Yashwant Nagar, Dist. Solapur",Solapur,www.smsmpitr.org,smpcht@gmail.com,223548,Ms. Magar Megha Abhaysingh,223548
"Dr. D. Y. Patil School of Engineering & Technology,  Charholi(Bk), Via Lohgaon, Pune","Dr. D Y Patil Knowledge City, Charholi(Bk), Via-Lohgaon,  Pune 412105",Pune,www.dypic.in,principalsoet@dypic.in,2067077931,Mr. Vidyanand Mankar,2067077931
"Dr. D. Y. Patil Educational Academy's, D.Y.Patil School of Engineering Academy, Ambi","S.No 124,126 At/Post Ambi, Talegaon Dhabade, Taluka-Maval, Dist Pune Talegaon Dabhade, Tal. Maval Dist. Pune 410506",Pune,www.dyptc.com,ddypea@gmail.com,306230,shri. B. S. Gaikwad,306230
"Shri.Someshwar Shikshan Prasarak Mandals, Someshwar Engineering College, Someshwar Nagar","Gat No. 53, Waghalwadi, Post Someshwar nagar, Tal. Baramati, Dist. Pune.",Pune,www.secsomeshwar.ac.in,ajay.deshmukh@rediffmail.com,283185,mr. Mohite S.R.,2112283
"Dnyanshree Institute Engineering and Technology, Satara","A/p Sonvadi-Gajvadi, Sajjangad Road, Tal Satara, Dist. Satara.",Satara,www.dnyanshree.edu.in,rwmct.satara@gmail.com,206566,Mr. Gosavi P.M.,206563
"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj","Patgaon, Miraj- Pandharpur Road, Miraj Dist.Sangli.",Sangli,www.shivgangavtc.org,shivgangavtc@gmail.com,2276203,Mr.A.B.Jamdade,2276202
"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune","Sector 29, PCNTDA, Pradhikaran, Akurdi, Pune",Pune,www.dypiemr.ac.in,principal.dypiemr@gmail.com,27654470,Mr.Y K Patil,27656566
"Sant Gajanan Maharaj College of Engineering, Gadhinglaj","Site Chinchewadi, Tal.GAdhinglaj, Dist. Kolhapur.",Kolhapur,www.sgmrh.com,sgmcoe@gmail.com,275581,Desai Rahul Shivajirao,275581
"Keystone School of Engineering, Pune","Sr.No.305/7, 306, 307/5 & 308/21 Urli Devachi, Pune",Pune,www.shalakafoundation.com/ www.keystoneschoolofengineering.com,prashantkasabe@gmail.com,64003200,Prashant Kasabe,64003400
"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Degree Engineering, Patgaon, Miraj","Patgaon, Miraj- Pandharpur Road, Miraj Dist.Sangli.",Sangli,www.shivgangavtc.org,shivgangavtc@gmail.com,2276203,Mr.A.B.Jamdade,2276202
"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala","Gat No. 685, Mouje-Waksai, Tah- Maval, Dist Pune.",Pune,www.vpscet.com,vpscet@gmail.com,246002,Deepak. D. Gosavi,246002
"Shri Chimasaheb jagdale Institute of Technology, Narsobawadi, Tal.Shirol, Kolhapur","ATPOST NARSOBAWADI TAL. SHIROL, Dist KOLHAPUR",Kolhapur,www.scjit.ac.in,scjiot@gmail.com,270571,MR.SANJAY N.RAJPUT,270571
"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet","Survey No.10, Laxmi Nagar, Ravet Plot No. B of 110(z), 110(s), Haveli, Pune
",Pune,www.pccoer.com,pccoer.ravet@gmail.com,7744898844,Mr. Prakash Yeole,8237238080
"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon","Sr.No.27/A/1/2k, Near Talegaon Railway Station, A/P Varale, Talegaon, Tal-Maval,Dist Pune",Pune,www.dypatilef.com,principal@dypatilef.com,2114667928,Vishal Padawale 9665441599,2114667928
"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur","R.S.No.865, A-Ward Salunke Nagar, Kolhapur",Kolhapur,coes.dypgroup.edu.in,dype472.ec@unishivaji.ac.in,9823152996,Mr. Ashish V. Udale,2320914
"Army Institute of Technology, Pune","Pune-Alandi Road, Dighi Hills, Pune ",Pune,www.aitpune.com,ait@aitune.edu.in,7249250185,R. P. Ambike,7249250184
